source_id,source_name,source_type,agency_or_org,subagency,jurisdiction,federal_or_state_or_private,state_if_applicable,url,monitoring_method,scraper_difficulty,robots_or_terms_risk,native_relevance,eligibility_classes,federal_recognition_required,state_recognition_supported,software_cost_allowability,program_examples,deadline_pattern,update_frequency,data_format,has_api,has_rss_or_email,requires_login,notes,priority_tier,registry_status,monitoring_status,terms_status,state_scope_status,eligibility_status,allowability_status,activation_blocked_reasons
24-CFR-1003-206-ICDBG-PROGRA-43357E,24 CFR 1003.206 ICDBG Program Administration Costs,regulation,GSA/OFR (eCFR),HUD PIH ch. IX,national,federal,,https://www.ecfr.gov/current/title-24/part-1003/section-1003.206,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,high,federally-recognized-tribe;tribal-government;tribal-organization,n/a,n/a,clearly-allowable,ICDBG admin/planning/data-systems,n/a - regulation,rare (no changes since 2017-01-03),HTML (eCFR API available),yes (eCFR developer API),yes (eCFR email subscribe per section),no,"THE citation for software allowability: (a)(1)(iii) ""Developing systems for assuring compliance""; (a)(4) ""purchase of equipment""; (c) indirect via 2 CFR 200 E; (d) funds may prepare applications for OTHER federal programs. 20% cap w/ 1003.205 [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NAT-ATC,Access to Capital Clearinghouse,Native_funding_aggregator,WHCNAA,Indian Affairs,United States,federal,,https://www.bia.gov/atc,search endpoint monitor,high,TERMS_REVIEW_REQUIRED,Very high,Tribal governments; tribal orgs; Native businesses; individuals; record controls,Varies,Varies,Varies,Federal grants loans tax credits,Rolling,Frequent,JavaScript/HTML,UNKNOWN,UNKNOWN,No,Reconcile to issuing source [research lane: seed-v1],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
HHS-ANA,ANA Funding Opportunities,agency_grant_page,HHS,Administration for Children and Families/ANA,United States,federal,,https://www.acf.hhs.gov/ana/grants/funding-opportunities,static HTML page monitor,low,OK,Very high,Tribes; tribal orgs; Native nonprofits; Native-serving/consortia may vary,Varies,Varies,Sometimes allowable depending on NOFO/budget category,SEDS; language; environmental regulatory enhancement,Recurring,Weekly,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BIA-INDIAN-AFFAIRS-NEWS-8D3977,BIA / Indian Affairs news,html_list,DOI,Bureau of Indian Affairs,federal,federal,,https://www.bia.gov/news,static HTML page monitor,low,OK,very_high,n/a (announcement channel),n/a,n/a,n/a,Tribal Tourism Cooperative Agreement (announced ONLY as a press release),rolling,weekly,HTML,no,no,no,"NO dedicated grants/funding page exists - bia.gov/ and /programs-services both fetched in full and neither contains a Grants or Funding link; server-rendered Drupal 10; /news already surfaces live solicitations as press releases; sitemap at /sitemap.xml; program pages likely carrying funding: /bia/ots/tribal-climate-resilience-program, /as-ia/ieed/division-economic-development, /bia/ois/dsd, /bia/ois/dwd, /bia/ots/demd [research lane: API/monitoring layer; DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BIA-ACCESS-TO-CAPITAL-CLEARI-B5C49A,BIA Access to Capital Clearinghouse,aggregator,DOI (referenced by EPA),Bureau of Indian Affairs,national,federal,,https://www.bia.gov/atc/search,search endpoint monitor,high,TERMS_REVIEW_REQUIRED,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization, native-owned-business, native-nonprofit, native-individual",UNKNOWN (varies by listed opportunity),UNKNOWN,UNKNOWN (varies),"cross-agency grants, loans, cost sharing, tax credits, vouchers",rolling; sorted by date_added,continuous,HTML (query-param search; sortBy/sortGrantsFirst params observed),UNKNOWN,UNKNOWN,UNKNOWN,"EPA RETIRED its Tribal Waste Management Funding Directory and now redirects users here (verified on epa.gov/tribal-lands/tribal-waste-management-funding, 2026-05-08). Native-scoped and multi-instrument, unlike Grants.gov. Direct competitor/complement to NativeForge — monitor even though DOI-owned. Not fetched this pass; all field values from EPA's description. Assign to the DOI research workstream for verification. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
BIA-BRANCH-OF-TRIBAL-COMMUNI-3E3D51,BIA Branch of Tribal Community Resilience,agency landing page,DOI,Bureau of Indian Affairs / OTS-DESCRM,federal,federal,,https://www.bia.gov/bia/ots/descrm/tcr,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization",yes,appears excluded,likely-allowable,"TCR Annual Awards Program, Voluntary Community-Driven Relocation, TCR Tribal Youth Programs",annual competitive,quarterly,HTML,no,no,no,"RENAMED from Tribal Climate Resilience; old path /bia/ots/tribal-climate-resilience-program 301s here. Verified: since 2011 TCR funded over 280 tribal adaptation plans, vulnerability assessments and risk assessments, 900+ awards totalling more than $119 million - planning and assessment is the core purpose, not an incidental cost. Contact resilience.funding@bia.gov [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BIA-ENERGY-AND-MINERAL-DEVEL-57996E,BIA Energy and Mineral Development Program (EMDP),program page,DOI,Bureau of Indian Affairs / DEMD,federal,federal,,https://www.bia.gov/service/grants/emdp,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, native-owned-business",yes,appears excluded,sometimes-allowable-depends-on-NOFO,EMDP (ALN 15.038),"annual, closes ~August (FY25 due 2025-08-13); currently CLOSED",annual,HTML,no,no,no,"ALN 15.038 verified on the page FAQ. Eligibility broader than tribes alone: all federally recognized AI/AN Tribes, bands, villages, nations or communities, plus any Tribal Energy Development Organization completely owned by individuals of AI/AN descent - native-owned-business genuinely in scope. Fundable: resource assessment, exploration, feasibility, market, engineering studies, economic evaluation. Page states another EMDP opportunity is anticipated next year [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BIA-INDIAN-AFFAIRS-GRANTS-IN-EE5C3A,BIA Indian Affairs Grants index,funding index page,DOI,Bureau of Indian Affairs / Office of Indian Economic Development,federal,federal,,https://www.bia.gov/topic/grants,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization, native-owned-business",yes,appears excluded,likely-allowable,"NABDI, NTBG, LLGP, EMDP, TEDC, IBIP, TTGP",varies; several close ~August,quarterly,HTML,no,no,no,Consolidated 7-program index and the densest BIA funding cluster. Page states many of these grants fund feasibility studies. Office renamed: /as-ia/ieed 301s to /as-ia/ied and BIA's own sidebar still links the dead path [research lane: DOI/HHS + SC + philanthropy],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BIA-TCR-ANNUAL-AWARDS-PROGRA-1C5286,BIA TCR Annual Awards Program,program page,DOI,Bureau of Indian Affairs / TCR,federal,federal,,https://www.bia.gov/service/tcr-annual-awards-program,static HTML page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government, tribal-organization",yes,appears excluded,likely-allowable,TCR Annual Awards Program,annual; month UNKNOWN,annual,HTML + PDF quick guide,no,no,no,"Verbatim: competitive funding to federally-recognized Tribes AND Tribal organizations to build community resilience capacity - so tribal organizations are eligible, not only tribal governments. Historical solicitations at /bia/ots/tcr/previous-awards are the only way to predict its annual timing [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CDFI-FUND-NACA-APPLICATION-M-482BA0,CDFI Fund NACA application materials,PDF/NOFO repository,U.S. Department of the Treasury,CDFI Fund - Native Initiatives,national,federal,,https://www.cdfifund.gov/programs-training/programs/native-initiatives/apply-step,PDF/NOFO page monitor,low,OK,very high,as above,no,n/a,likely-allowable - CONFIRM in the FY TA Application Guidance PDF,"NOFA plus amendments; FA, TA, HFFI-FA, DF-FA and HP-FA guidance; AMIS training manuals",annual with mid-cycle amendments,annual plus amendments,HTML index + PDF and XLSX,no,GovDelivery,no,"Every document carries an Updated-<date> stamp, which is an ideal free change-detection surface [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
