review_item_id,source_id,source_name,risk_type,review_status,review_required_reason,automation_blocked,human_review_only,credential_required,terms_url_or_note,priority,collectors_active,monitors_active,live_fetch_performed,live_source_coverage
REVIEW-24-CFR-1003-206-ICDBG-PROGRA-43357E,24-CFR-1003-206-ICDBG-PROGRA-43357E,24 CFR 1003.206 ICDBG Program Administration Costs,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.ecfr.gov/current/title-24/part-1003/section-1003.206,1,False,False,False,False
REVIEW-BIA-ACCESS-TO-CAPITAL-CLEARI-B5C49A,BIA-ACCESS-TO-CAPITAL-CLEARI-B5C49A,BIA Access to Capital Clearinghouse,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.bia.gov/atc/search,1,False,False,False,False
REVIEW-CATAWBA-NATION-A16252,CATAWBA-NATION-A16252,Catawba Nation,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.catawba.com/,1,False,False,False,False
REVIEW-CDFI-FUND-NATIVE-INITIATIVES-032595,CDFI-FUND-NATIVE-INITIATIVES-032595,CDFI Fund Native Initiatives (NACA Program),terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.cdfifund.gov/programs-training/programs/native-initiatives,1,False,False,False,False
REVIEW-CWA-SECTION-319-TRIBAL-COMPE-9B12AC,CWA-SECTION-319-TRIBAL-COMPE-9B12AC,CWA Section 319 Tribal Competitive Grants (FY26 NOFO OPEN),terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.epa.gov/nps/current-tribal-section-319-grant-information,1,False,False,False,False
REVIEW-DOE-IE-EXCHANGE-OFFICE-OF-IN-B11146,DOE-IE-EXCHANGE-OFFICE-OF-IN-B11146,DOE IE-Exchange (Office of Indian Energy application portal),terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://ie-exchange.energy.gov/,1,False,False,False,False
REVIEW-DOE-INDIAN-ENERGY-GOVDELIVER-7050A9,DOE-INDIAN-ENERGY-GOVDELIVER-7050A9,DOE Indian Energy GovDelivery bulletins,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://content.govdelivery.com/accounts/USDOEIE/bulletins/41f4772,1,False,False,False,False
REVIEW-EDA-OPEN-FUNDING-SEARCH-ENDP-517E71,EDA-OPEN-FUNDING-SEARCH-ENDP-517E71,EDA Open Funding Search Endpoint,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.eda.gov/funding/funding-opportunities/all-opportunities?f%5B0%5D=funding_status%3A6565,1,False,False,False,False
REVIEW-EDA-PLANNING-PROGRAM-CEDS-00B949,EDA-PLANNING-PROGRAM-CEDS-00B949,EDA Planning Program (CEDS),terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.eda.gov/funding/programs/planning,1,False,False,False,False
REVIEW-EDA-PROGRAM-LIST-4ED231,EDA-PROGRAM-LIST-4ED231,EDA Program List,terms_review_required,pending,terms carry an obligation or restriction needing legal review,True,False,False,https://www.eda.gov/funding/programs,1,False,False,False,False
