source_id,source_name,state_if_applicable,priority_tier,source_type,federal_recognition_required,state_recognition_supported,notes,url
ADVANCE-SC-NATIVE-AMERICAN-A-2D8EF3,Advance SC Native American Affairs,SC,Tier 1,agency program page,no,yes,Cites SC Code 1-31-40(A)(6)(10) and Code of Regulations Ch 139. The Advisory Committee membership is BROADER than the recognized list (it includes Lower Eastern Cherokee Nation of SC and Pee Dee Indian Tribe of Beaver Creek plus institutional members) - do not conflate the two. The recognition APPLICATION process is not published anywhere findable: mark UNKNOWN and contact info@advance.sc.gov [research lane: DOI/HHS + SC + philanthropy],https://advance.sc.gov/community-engagement/native-american-affairs
CATAWBA-NATION-A16252,Catawba Nation,SC,Tier 1,federally recognized tribe,yes,n/a,"Chief Brian Harris, 996 Avenue of the Nations, Rock Hill SC 29730. Also uses catawbaindian.net (email domain only) and catawbaindiancrafts.com for the THPO page (THPO Wenonah G. Haire). NOTE Rock Hill is a CDBG entitlement city, so it is excluded from the SC state small-cities CDBG program [research lane: DOI/HHS + SC + philanthropy]",https://www.catawba.com/
SC-ABSENCE-OF-A-CENTRAL-GRAN-772EF9,SC absence of a central grants portal,SC,Tier 1,negative finding,n/a,n/a,"DEFINITIVE NEGATIVE FINDING, stated plainly: there is NO central statewide grants clearinghouse in South Carolina. Four candidates were checked and all fail - Dept of Administration Managing Grants is inward-facing compliance, the State Clearinghouse is an E.O. 12372 review function, SCBO/procurement.sc.gov is procurement not grants, and the State Auditor publishes no single-audit resource. SC coverage MUST be built agency-by-agency. Cross-cutting risk: domain churn (cma to advance, schousing.com to schousing.sc.gov, scorf versus scor) plus undated pages requiring content-hash diffing. SC runs mostly Drupal 10 with exceptions (SCEMD custom, cdbgsc.com WordPress, scbo.sc.gov Backdrop, osa.sc.gov WordPress) [research lane: DOI/HHS + SC + philanthropy]",https://www.sc.gov
SC-DEPARTMENT-OF-ARCHIVES-AN-36C8D8,SC Department of Archives and History grants,SC,Tier 1,state and federal historic preservation grants,no,"YES - referenced, but the practical pathway is unresolved","HIGHEST-PRIORITY SC OPEN QUESTION: this is the only SC program family naming state-recognized tribes, but whether a tribal government can satisfy the Charities-registration, incorporation and deed tests is unresolved. Contact sgf@scdah.sc.gov. Also hosts Native American Heritage and Native American Resources reference pages [research lane: DOI/HHS + SC + philanthropy]",https://scdah.sc.gov/historic-preservation/programs/grants
SC-ED,SC Department of Education Grant Opportunities,SC,Tier 1,state_agency_grants,No,UNKNOWN,Maintains both current and archived opportunity lists plus a separate page of grant programs administered by SCDE. 21st CCLC is the most plausible route for an out-of-school Native youth program [research lane: seed-v1; DOI/HHS + SC + philanthropy],https://www.ed.sc.gov/finance/grants/office-of-grant-services/scde-grant-opportunities/
SC-HOUSING-CHDO-CERTIFICATIO-C55EDF,SC Housing CHDO Certification,SC,Tier 1,nonprofit certification and HOME set-aside,no,"yes - nonprofit status is the test, not recognition",DOMAIN CHANGED: schousing.com 301s to schousing.sc.gov - update stored URLs (transactional subdomains and the @schousing.com email domain persist). The CHDO tests requiring a board with at least one third low-income representation and a lack of for-profit OR PUBLIC control may block a tribally-controlled nonprofit - flag for legal review. A 2024-2026 Certified CHDO List PDF is published. Contact CommunityDevelopmentPrograms@schousing.com [research lane: DOI/HHS + SC + philanthropy],https://schousing.sc.gov/development/community-housing-development-organizations
SC-OFFICE-OF-RESILIENCE-GRAN-E9A64E,SC Office of Resilience Grants Activities,SC,Tier 1,state grant program hub,no,yes - tribal nations named without a federal qualifier,Established under SC Code 48-62-10 in September 2020. CRITICAL NAME COLLISION: scor.sc.gov is the Office of Resilience; scorf.sc.gov is the unrelated Opioid Recovery Fund Board. The prior dossier conflated them. Publishes /grants-activities/current and /progress; the Google Calendar of hearings is a usable early signal [research lane: DOI/HHS + SC + philanthropy],https://scor.sc.gov/grants-activities
SC-RECOGNIZED-NATIVE-AMERICA-1D4C73,SC Recognized Native American Indian Entities List,SC,Tier 1,state recognition registry,no,yes - authoritative source of SC state recognition,"Agency RENAMED May 2025 from SC Commission for Minority Affairs; cma.sc.gov 301s to advance.sc.gov and every stored cma.sc.gov URL is stale. NO publication or last-revised date appears anywhere on the page - use content hashing, not date checking. Legacy duplicate path exists under /minority-population-divisions/. Authority SC Code 1-31-40(A)(10) and SC Code of Regulations Chapter 139 [research lane: DOI/HHS + SC + philanthropy]",https://advance.sc.gov/south-carolinas-recognized-native-american-indian-entities
SC-DHHS,SCDHHS Grants,SC,Tier 1,state_agency_grants,No,UNKNOWN,Strong data/EHR watch channel [research lane: seed-v1],https://www.scdhhs.gov/resources/grants
SCDHHS-GRANTS-RURAL-HEALTH-T-8E046C,SCDHHS Grants - Rural Health Transformation Program,SC,Tier 1,state pass-through grant program,no,not addressed,The richest single SC grants page found. The prior dossier's Connections to Care claim is VERIFIED essentially verbatim. Part of the federal Rural Health Transformation Program led by CMS. An Example Standard Subrecipient Agreement dated 2026-07-31 plus a full SF-424 package confirms a real subrecipient regime. Contact grants@scdhhs.gov. Prior closed programs: Rural and Medically Underserved Area Grant $48.2M and Behavioral Health Crisis Stabilization ~$35M [research lane: DOI/HHS + SC + philanthropy],https://www.scdhhs.gov/resources/grants
