source_id,source_name,source_type,agency_or_org,subagency,jurisdiction,federal_or_state_or_private,state_if_applicable,url,monitoring_method,scraper_difficulty,robots_or_terms_risk,native_relevance,eligibility_classes,federal_recognition_required,state_recognition_supported,software_cost_allowability,program_examples,deadline_pattern,update_frequency,data_format,has_api,has_rss_or_email,requires_login,notes,priority_tier,registry_status,monitoring_status,terms_status,state_scope_status,eligibility_status,allowability_status,activation_blocked_reasons
FED-GRANTS,Grants.gov,opportunity_aggregator,HHS,Grants.gov,United States,federal,,https://www.grants.gov/api/api-guide,API monitor,low,API_TERMS,High,All classes; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,All federal discretionary opportunities,Rolling,Daily,JSON,Yes,Yes,No,Canonical opportunity ingest; attribution required,Tier 1,seed_imported,not_started,ATTRIBUTION_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:API_TERMS;monitoring_not_started
FED-SIMPLER,Simpler.Grants.gov API,opportunity_api,HHS,Simpler Grants,United States,federal,,https://simpler.grants.gov/developers,API monitor,low,API_TERMS,High,All classes; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Federal opportunities,Rolling,Daily,JSON,Yes,No,API key,Early/developing API; rate limits,Tier 2,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:API_TERMS;requires_login:API key;monitoring_not_started
FED-SAM-AL,SAM.gov Assistance Listings,program_catalog,GSA,SAM.gov,United States,federal,,https://sam.gov/content/assistance-listings,search endpoint monitor,medium,TERMS_REVIEW_REQUIRED,High,All classes; listing controls,Varies,Varies,Unclear,Assistance Listings,Annual/ongoing,Weekly,HTML/JSON,UNKNOWN,Yes,No,Program catalog not open-opportunity feed,Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
FED-FR,Federal Register,notice_feed,Office of the Federal Register,,United States,federal,,https://www.federalregister.gov/developers/documentation/api/v1,API monitor,low,low,High,All classes; notice controls,Varies,Varies,Unclear,Notices; rules; consultations,Rolling,Daily,JSON/XML,Yes,Yes,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
FED-USA,USAspending,award_database,Treasury,,United States,federal,,https://api.usaspending.gov/,API monitor,low,API_TERMS,Medium,Award recipients,Varies,Varies,Not applicable,Historical assistance awards,Rolling,Daily,JSON,Yes,No,No,Use for award intelligence not deadlines,Tier 2,seed_imported,not_started,ATTRIBUTION_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:API_TERMS;monitoring_not_started
NAT-ATC,Access to Capital Clearinghouse,Native_funding_aggregator,WHCNAA,Indian Affairs,United States,federal,,https://www.bia.gov/atc,search endpoint monitor,high,TERMS_REVIEW_REQUIRED,Very high,Tribal governments; tribal orgs; Native businesses; individuals; record controls,Varies,Varies,Varies,Federal grants loans tax credits,Rolling,Frequent,JavaScript/HTML,UNKNOWN,UNKNOWN,No,Reconcile to issuing source,Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
DOI-BIA-GRANTS,Indian Affairs Grants,agency_grant_page,Interior,Indian Affairs/OIED,United States,federal,,https://www.bia.gov/topic/grants,static HTML page monitor,low,low,Very high,Primarily federally recognized tribes and eligible tribal entities; program controls,Often,Usually no,Varies,NABDI; NTBG; LLGP; EMDP; TEDC; IBIP; TTGP,Recurring,Weekly,HTML/PDF,No,UNKNOWN,No,,Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOI-BIE,Bureau of Indian Education,agency_page,Interior,BIE,United States,federal,,https://www.bie.edu/topic-page/grants,static HTML page monitor,medium,TERMS_REVIEW_REQUIRED,Very high,BIE schools; TCUs; tribes; program controls,Often,Usually no,Varies,School and TCU support,Recurring,Weekly,HTML/PDF,No,UNKNOWN,No,,Tier 2,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
DOI-NPS-THG,Tribal Heritage Grants,program_page,Interior,National Park Service,United States,federal,,https://www.nps.gov/subjects/historicpreservationfund/tribal-heritage-grants.htm,PDF/NOFO page monitor,low,low,Very high,Federally recognized tribes; tribal historic preservation offices,Yes,No,Sometimes allowable depending on NOFO/budget category,Tribal Heritage Grants,Annual/periodic,Monthly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
DOI-NPS-NAGPRA,NAGPRA Grants,program_page,Interior,National Park Service,United States,federal,,https://www.nps.gov/subjects/nagpra/grants.htm,PDF/NOFO page monitor,low,low,Very high,Tribes; Native Hawaiian organizations; museums; NOFO controls,Varies,No,Sometimes allowable depending on NOFO/budget category,Consultation/documentation/repatriation grants,Annual/periodic,Monthly,HTML/PDF,No,Yes,No,,Tier 2,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
