seed_id,canonical_source_id,source_name,source_url,tier,adapter_key,access_posture_hint,source_health_status,catalog_accounting_bucket,resolver_url_status,health_evidence
nf-seed-2026-fed-001,nf:source:nf-seed-2026-fed-001,BIA / Interior — Aid to Tribal Governments (Categorical Grants – 15.020),https://www.bia.gov/topic/grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-002,nf:source:nf-seed-2026-fed-002,BIA / Interior — Native American Business Development Institute (NABDI) Grant,https://www.bia.gov/service/grants/nabdi,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-003,nf:source:nf-seed-2026-fed-003,BIA / Interior — Native Tourism & Broadband Grant (NTBG) – Broadband,https://www.bia.gov/topic/grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-004,nf:source:nf-seed-2026-fed-004,BIA / Interior — Tribal Language Preservation Grants,https://www.bia.gov/topic/grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-005,nf:source:nf-seed-2026-fed-005,BIA / Interior — Energy & Mineral Development Program (EMDP),https://www.bia.gov/service/grant-assistance-energy-grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-006,nf:source:nf-seed-2026-fed-006,BIA / Interior — Tribal Energy Development Capacity (TEDC) (15.148),https://www.bia.gov/service/grants/tedc/apply-tedc-grant,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-007,nf:source:nf-seed-2026-fed-007,BIA / Interior — Tribal Tourism Grant Program (TTGP),https://www.bia.gov/service/grants/ttgp/apply-ttgp-grant,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-008,nf:source:nf-seed-2026-fed-008,BIA / Interior — Tribal Self-Governance Program,https://www.bia.gov/as-ia/osg,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-009,nf:source:nf-seed-2026-fed-009,IHS / HHS — Tribal Management Grant (TMG) Program,https://www.ihs.gov/ODSCT/tmg/,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-010,nf:source:nf-seed-2026-fed-010,IHS / HHS — Tribal Self-Governance Negotiation Cooperative Agreement,https://www.ihs.gov/dgm/funding/,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-011,nf:source:nf-seed-2026-fed-011,IHS / HHS — Special Diabetes Program for Indians (SDPI),https://www.ihs.gov/sdpi/,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-012,nf:source:nf-seed-2026-fed-012,ANA / HHS-ACF — Social & Economic Development Strategies (SEDS),https://www.acf.hhs.gov/ana/grants,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
nf-seed-2026-fed-013,nf:source:nf-seed-2026-fed-013,ANA / HHS-ACF — Native Language Preservation & Maintenance (P&M),https://simpler.grants.gov/opportunity/b48c26a9-fb16-46a8-9bdf-6bd55b1ddc31,1,grants_gov_federal,public,healthy,activatable,resolved,resolver:activatable
